Овен	Телец	Близнецы	Рак	Лев	Дева	Весы	Скорпион	Стрелец	Козерог	Водолей	Рыбы	date
. 3 июня.☘️Вы холодны как айсберг на северном полюсе к тем, кто проявляет к вам симпатию и сладкие чувства. Дело ваше конечно, но, честно говоря, так себе успех...♉️	. 3 июня.☘️Вскружить кому-то голову или разбить сердце вы можете в считанные минуты, это конечно прекрасно, только сами не потеряйте хладнокровие, а то мало ли.♊️	. 3 июня.☘️Наконец-то, поймали правильную волну, супер. Принимайте окончательное решение и кайфуйте на здоровье!♋️	. 3 июня.☘️Не бойтесь нарушить привычный ход событий, выйти за рамки скучной повседневности, проявить инициативу. Творите неформат!♌️	. 3 июня.☘️День - боль. Настроение - боль. Личная жизнь - боль. Погода - боль. Главное во всем стабильность. Но не грустите - скоро всееее наладится!♍️	. 3 июня.✨Пришло время великих потрясающих перемен, скорее за мечтой! Звезды за Дев!♎️	. 3 июня.☘️Вы как белка , в том самом колесе. Пора взять паузу, попить водички и послать все к чертям собачьим.♏️ 	. 3 июня.☘️Эй, пора принимать решения! Откладывать дальше нету смысла! Ваши союзники и товарищи верны вам и готовы прийти на помощь, как черный плащ, - в любой момент!♐️	. 3 июня.☘️Стрельцы пошли лечить нервы... Будут поздно, пьяные, добрые и счастливые!♑️	. 3 июня.☘️Старайтесь держаться подальше от тех, кто пробуждает в вас негативные эмоции. С сволочами вообще лучше дела не иметь.♒️	. 3 июня.☘️Ваша интуиция сегодня остра и дает только верные подсказки. Сегодня вас ждет много новостей. Все новости классные, и порадуют вас!♓️	. 3 июня.☘️К вам проявляют чрезмерное внимание? А чему вы удивляетесь? Пора бы уже и пофлиртовать как следует!@moygoroskop ☯️	3 ИЮЛЯ
. 4 июля.☘️Не оглядывайся назад. Всё время иди вперёд. Люди, которые тебе действительно нужны, обязательно тебя догонят.♉️	. 4 июля.☘️Всё будет хорошо. Действительно, даже если что-то плохо – у вас есть чему радоваться. Всё будет просто идеально, звёзды обещают!♊️	. 4 июля.☘️Что то вы очень милые стали.. пора выпустить коготки! И расцарапать личико недоброжелателям и завистникам!♋️	. 4 июля.☘️Не смущайтесь – событий будет очень много, но это только подготовительный этап! Вскоре начнётся реальная жара и драйв, вы ещё устанете радоваться и улыбаться!♌️	. 4 июля.☘️День действительно шикарный, стоит довести начатое до конца и начать незаконченное. В общем делайте что вам вздумается, все равно успех вас ожидает в любом начинании!♍️	. 4 июля.☘️Следует различать оказание помощи и те ситуации, когда какое-то несчастье на шею вам пытается забраться!♎️	. 4 июля.☘️День офигенно настроен на спонтанные решения. Зачем семь раз мерить, если с первого всё ясно?♏️ 	. 4 июля.☘️Вы слишком серьёзно ко всему подходите, прекращайте! Больше позитива и веселья, и всё будет намного легче!♐️	. 4 июля.☘️Многие хотят вас видеть. Кого наградить своим присутствием выбирать только вам!♑️Козерог. 4 июля.☘️	и, помните, что сбежать от людей и обстоятельств вполне возможно, но от чувств и эмоций наверно никогда..♒️	. 4 июля.☘️Не стоит по привычке или из чувства долга держаться за людей, которые вас не устраивают. К хорошему это обычно не приводит.♓️	. 4 июля.☘️Глядя на вас, хочется спросить: «Как такой обалденный человек может думать о плохом?». Не отвечайте, просто выкиньте все плохое из головы.@moygoroskop ☯️	4 ИЮЛЯ
. 5 июля.☘️Сегодня о вас вспомнят те, кто уже давно прекратил с вами отношения. Устройте встречу, если ностальгия вам не чужда.♉️	. 5 июля.☘️Ваше очарование непременно заметят представители противоположного пола! Можете замутить любовную интрижку о которой давно мечтали.♊️	. 5 июля.☘️Близнецам нужны настоящие чувства, а не фигня какая-нибудь на следующие месяц-два.♋️	. 5 июля.☘️Сегодняшний день будет довольно странным для вас. Вы будете абсолютно не понимать, что же вокруг вас происходит и чем это закончится. Тем интереснее)♌️	. 5 июля.☘️Львы самые привлекательные люди на Земле. Сегодня это в очередной раз поймут те, кто нихрена не понял.♍️	. 5 июля.☘️Вас ждет то, что вы так давно хотели! Да-да. Осталось немного!♎️	. 5 июля.☘️Не стесняйтесь послать нахер людей, которые пользуются вашей энергией! Вампиры хреновы.♏️ 	. 5 июля.☘️Ваше будущее – ваши мысли. Не надо думать обо всякой херне, если не хотите потом её встретить!♐️	. 5 июля.☘️Можете спокойно сесть на жопку, подвести итоги проделанной работы и покайфовать. Вы заслужили отдых и уважение близких. Получите, распишитесь.♑️	. 5 июля.☘️Сегодня вы будете как никогда более уверены в собственных силах. Ребятки, вы действительно очень многое можете себе позволить.♒️	. 5 июля.☘️Хватит ждать смски или звонка. Забейте хер, идите развлекаться – надо будет – найдёт вас♓️	. 5 июля.☘️Сюрпризов будет очень много, а шансов изменить свою будущее ещё больше. Хватайтесь за каждый.@moygoroskop ☯️	5 ИЮЛЯ
. 6 июля.☘️Овны, пришла пора перемен.. перемен к лучшему..♉️	. 6 июля.☘️Тельцы, в вас кое-кто влюбился, а вы упорно не обращаете на этого человека внимания!) Ну разве так можно!? Срочно обратите на него внимание, возможно этот человек ваша судьба..))♊️Близнецы. 6 июля.☘️	, засуньте свою доброту и искренность куда подальше, и относитесь к людям так, как они относятся к вам.♋️	. 6 июля.☘️Вам уже совсем пофиг на прошлое, потому что у вас восхитительное настоящее!♌️	. 6 июля.☘️Львы, ваше счастье находится у вас под носом.. А вы игнорите его. Не надо так!♍️	. 6 июля.☘️Девы решили, пусть всё будет так, как есть. Они уже устали пытаться всё изменить.♎️Весы. 6 июля.☘️	 очень хотят найти человека, которому спокойно можно было бы довериться и подарить океан своей любви..♏️ 	. 6 июля.☘️Ваш пофигизм сегодня вам поможет в принятии важных решений. Не особо важно чем это всё закончится, но вам сегодня всё равно.♐️	. 6 июля.☘️Вам остался один шаг для достижения цели, постарайтесь не пропустить его и не скатиться в самое начало, держитесь увереннее.♑️	. 6 июля.☘️Сегодня всё будет шикарно, можете расслабиться, удача найдёт вас самостоятельно.♒️	. 6 июля.☘️Всё будет зашибись, тревога уходит подальше, а любовь, удача и радость подходят поближе.♓️	. 6 июля.☘️Может возникнуть взаимная симпатия с тем, от кого никак не ожидал такого поворота. Готовьтесь.@moygoroskop ☯️	6 ИЮЛЯ
. 7 июля.☘️Ошибки вам сегодня не грозят. Вы всё делаете аккуратно, чётко и красиво. Видно как окружающие обадлевают от того, насколько вы продуманный человек!♉️	. 7 июля.☘️Какие бы ни были намерения, всё равно всё будет не так. Всё будет еще лучше! Тельцы, готовьтесь!♊️	. 7 июля.☘️Близнецам придётся принять на себя ответственность, потому что вы здесь самый умный, в меру наглый и очень офигительный.♋️Рак. 7 июля.☘️Со временем Раки устают тянуться к людям, которые не делают ни шагу к ним на встречу. Так что, народ, не втыкайте! Потеряете 	ов, будете локти кусать потом.♌️	. 7 июля.☘️Вас сильно раздражает необходимость общаться с человеком, который вас не понимает. Хватит терпеть, можете слать лесом всех непонимающих.♍️	. 7 июля.☘️Пришла пора нахрен бросить прошлое и перестать тащить его в светлое будущее!♎️	. 7 июля.☘️Так, от ваших решений зависит очень много. Так что не торопитесь, подумайте, как следует. Это важно!♏️ 	. 7 июля.☘️У вас получится то, о чём вы давно мечтали. Мечты сбываются самым лучшим образом! Вот же везуха.♐️	. 7 июля.☘️Насладитесь моментом и не думайте о будущем. Сегодня вы никак не можете на него повлиять, так что можете с полным правом на время отойти от дел. Релаксируйте по полной!♑️Козерог. 7 июля.☘️У 	ов есть человек, к которому постоянно тянет. Сколько бы он плохого ни сделал. И сегодня он даст о себе знать.♒️	. 7 июля.☘️Водолеи, рядом с вами есть такие люди, которым не важно кто вы, пофиг — какие вы… а просто важно, что вы есть…Цените их.♓️	. 7 июля.☘️Вы способны найти ключ к любому сердцу, но вам оно нафиг не надо. Нужное сердце уже с вами, это точно.@moygoroskop ☯️	7 ИЮЛЯ
". 8 июля.☘️Звезды предсказывают Овну поистине жаркий денек, поэтому готовьтесь ""попотеть"" над новыми проектами. Появится шанс проявить себя в творчестве, а вот физический труд лучше отложить в сторону.♉️"	". 8 июля.☘️Можно ждать успешного сотрудничества с партнерами, но не бескорыстного. Научитесь твердо говорить ""нет"", если какое-либо предложение или просьба явно вредят вашему делу.♊️"	. 8 июля.☘️Вероятно, вы почувствуете уравновешенность мыслей и чувств. В спокойной обстановке вам удастся справиться со многими текущими делами.♋️Рак. 8 июля.☘️Благоприятный день для 	а, у которого намечается важное мероприятие. Все пройдет великолепнее, чем вы думали.♌️	 .8 июля.☘️В этот день особенно сильна интуиция, поэтому Львы могут невзначай решить не разрешимую ранее проблему.♍️Дева. 8 июля.☘️Звезды советуют 	м радоваться мелочам, которые сегодня окажутся весьма приятными.♎️	. 8 июля.☘️Не исключено, что вас потянет в дальние странствия: кто-то поедет за границу, кто-то в командировки. Появятся новые перспективные направления, повысится доход.♏️ 	. 8 июля.☘️Вероятно, вам удастся сконцентрировать все силы и справиться с любыми проблемами, провокациями и искушениями. Потакание своим слабостям может создать препятствия.♐️	. 8 июля.☘️Чем легче вы сегодня будете воспринимать происходящее, тем больше будет вероятность удачного разрешения ваших дел.♑️	. 8 июля.☘️Постарайтесь сегодня не вмешиваться ни в чьи дела. Не разобравшись в тонкостях дела, вы можете натворить чего-то не того, действуя из лучших побуждений.♒️	. 8 июля.☘️Сегодняшний день будет полон неожиданностей, как приятных, так и не слишком. В любом случае, дела, запланированные заранее, лучше отложить, ибо переделать их не удастся.♓️	. 8 июля.☘️Пришло время действовать. Объяснения же стоит отложить до лучших времен. Переживать по этому поводу не стоит. Те, кто вас любит, вас поймут.@moygoroskop ☯️	8 ИЮЛЯ
. 9 июля.☘️Вы фактически достигли желаемого, вам осталось лишь сделать последнее усилие. Вот им-то и стоит сегодня заняться.♉️	. 9 июля.☘️Если вам кажется, что ваши принципы лишь осложняют вам жизнь, значит пришло время их пересмотреть. Так ли все они верны?♊️	. 9 июля.☘️Резкие перемены в жизни не принесут удовольствия и пользы. Спокойно плывите по течению, не пытаясь осилить невозможное, иначе только испортите себе настроение.♋️	. 9 июля.☘️Не нужно пытаться все просчитать, а то только потратите время, а случится все иначе. Смело начинайте новые дела и составляйте планы, удача будет на вашей стороне.♌️	. 9 июля.☘️Вы можете не справиться с задачами, если станете делать все и сразу. Чтобы не упустить главную цель, ориентируйтесь на настоящее. Расставляйте правильно приоритеты.♍️	. 9 июля.☘️Вы слишком загоняли себя за последнее время. Этот день исторически предназначен для отдыха - так используйте его по назначению.♎️	. 9 июля.☘️Начинайте двигаться, направление определите позже. Если же вам не совсем все равно куда прийти, спросите чьего-нибудь совета и поступите наоборот.♏️ 	. 9 июля.☘️Вам, возможно, покажется, что вы проиграли, но это не так. Надо лишь немного подождать. Не начинайте сегодня ничего нового.♐️	. 9 июля.☘️Сегодня вы будете удивительно доброжелательны и миролюбивы. Вы готовы приложить все усилия, чтобы избежать малейших конфликтов.♑️	. 9 июля.☘️Прежде чем разворачивать парус, проверьте направление и силу ветра. Возможно, он принесет вас не туда, куда вам хотелось бы попасть.♒️	. 9 июля.☘️Сегодня вы будете знать ответы на все вопросы. Будьте же благосклонны к окружающим, не скрывайте от них своего знания.♓️	. 9 июля.☘️Сегодня большую роль будут играть разного рода случайности. В связи с этим обстоятельством тратить время на какое-то планирование не стоит - бессмысленно.@moygoroskop ☯️	9 ИЮЛЯ
☘В этот день вам обязательно повезёт. Крупно или мелко – это зависит от чистоты ваших помыслов, усердия и трудолюбия.♉	☘Вы нуждаетесь в любви, ласке и радости!♊	☘Вы либо добьетесь желаемого, либо перестанете это хотеть, и оно вам будет не надо!♋	☘Вы сегодня прямо с утреца вытяните билет удачи и получите кучу приятностей от близких! Бонус в любви вас ожидает ближе к вечеру!♌	☘В любовных делах вам придется сегодня взять на себя некоторые обязательства. Но это не так страшно, тем более, что от них всегда можно отказаться.♍	☘Секрет вашего успеха – в способности действовать, ни от кого не ожидая ни помощи, ни моральной поддержки. Вы лучшие и без этих подачек!♎	☘Сегодня не стоит слишком ограничивать себя морально-этическими нормами. Удовлетворите пару-тройку своих желаний, в противном случае, они вас со свету сживут.♏ 	☘Вы довольно многое отдали в свое время, сегодня, возможно, что-то к вам возвратится.♐	☘Помогите ближнему своему, и когда-нибудь он поможет вам. Сегодня у вас будет немного свободного времени - этим и займитесь.♑	☘Постарайтесь не затевать ничего, что вы не смогли бы довести до конца сегодня же.♒	☘Постарайтесь не вляпаться в неприятности, ибо сегодня есть что терять. Не давайте вещам и обстоятельствам ставить вас в безвыходное положение.♓	☘Юмор и оптимизм станут определяющими в общении с людьми. Вы легко и быстро сможете схватывать новую информацию, что положительно повлияет на будущие достижения.@moygoroskop ☯	10 июля
☘Для того, чтобы достичь успеха в больших делах, начните с мелочей. Не оставляйте на завтра то, что можно сделать сегодня, иначе вряд ли вообще вернетесь к этому делу.♉	☘Прежде, чем сделать кому-то услугу, спросите, а нужна ли она этому человеку. Друзья не всегда могут правильно вас понять, поэтому старайтесь сдерживать эмоции.♊	☘Осторожнее с новыми знакомствами, кто-то может смотреть на вас, как на легкую добычу.♋	☘Сегодняшний день постарайтесь посвятить родным и близким, и хотя бы сегодня отключить телефон и быть вне работы.♌	☘В последнее время вам хочется изменить жизнь, но одного желания недостаточно. Больше работайте, совершенствуйте свои навыки, научитесь воспринимать критику - тогда дела пойдут вверх.♍	☘Не стоит открывать планы незнакомой человеку, даже если он кажется безобидным и очень приятным.♎	☘Вы заслужили на отдых. Ваш организм немного истощен, а силы еще понадобятся, поэтому хорошенько выспитесь и вперед к новым свершениям!♏ 	☘Даже если вам в последнее время немного везет, не стоит расстраиваться. Все будет!♐	☘Не принимайте близко к сердцу то, что говорят незнакомцы. Берегите себя и свои нервишки.♑	☘Сегодня у вас получится совместить приятное с полезным. Поторопитесь запланировать встречу с друзьями, чтобы ничто не нарушило ваш отличный вечер.♒	☘Не сомневайтесь – сделайте первый шаг. Жизнь вся состоит из наших попыток, в этом смысл!♓	☘Сегодня вы станете душой компании, если не захотите провести день в гордом одиночестве!@moygoroskop	11 июля
☘️У вас были планы на сегодня? Забудьте о них. Вам сегодня по секрету сообщат нечто такое, что полностью перекроит ваш день♉️	☘️В данный момент ваш горизонт может оказаться затянутым облаками. Не стоит, однако, тратить силы на то, чтобы их разогнать. Проще подождать, пока разбегутся сами.♊️	☘️Вспомните о своих друзьях сегодня. Возможно, за повседневными хлопотами вы позабыли о их существовании, равно как и они о вашем.♋️	☘️Возможно вы просто не понимаете, что происходит, потому и действия ваши не имеют большого успеха. Протрите глаза, прочистите уши - вдруг поможет, и вы, наконец, сможете адекватно воспринять ситуацию..♌️	☘️Вы сегодня наделаете слишком много необдуманных поступков, если не будете внимательнейшим образом следить за каждым своим движением.♍️	☘️Вам требуется внимание и участие окружающих, но по странной прихоти судьбы, даже получая их, вы можете чувствовать себя недостойным этой чести. Совершенно напрасно, вы вполне все это заслужили.♎️	☘️Если кто-то вас в чем-то обвиняет, то это серьезный повод задуматься. Особенно если обвинения полностью лишены какого бы то ни было основания.♏️ 	☘️Сегодня вы имеете реальный шанс обогатиться. Опытом ли, наличными ли - о том звезды умалчивают.♐️	☘️Сегодня вам стоит избегать суеты в собственных действиях, а также, если возможно, общения с суетливыми людьми.♑️	☘️Сегодня вам придется забыть о гордости и попросить о помощи или, хотя бы, о продлении срока, иначе вам не справиться.♒️	☘️Сегодня вам стоит поаккуратнее выражать свои мысли по поводу умственных способностей лиц, с коими вам придется общаться.♓️	☘️Сегодня романтические отношения могут достигнуть высшей точки. От того, как вы поведете себя сегодня, будет зависеть очень и очень многое.@moygoroskop ☯️	12 июля
☘️Доверять другим, конечно, нужно, однако не стоит предпринимать серьезных действий, не позаботившись о тылах.♉️	☘️Вокруг вас сегодня может собраться слишком много людей, советующих вам как жить дальше, чтобы их можно было выносить. Придется поискать какое-нибудь убежище, иначе день этот не принесет ничего, кроме раздражения.♊️	☘️Сегодня вас будет целый день мучить вдохновение. Если вам удастся выжить, вы, возможно, создадите шедевр.♋️	☘️Сегодняшний день будет спокойным и неторопливым. Вы вполне можете себе позволить отключиться от реальности и вволю поблуждать по полям своего воображения, предаваясь мечтам.♌️	☘️Велик соблазн бросить всё и как следует загулять. Можете ему поддаться, разрешаю.♍️	☘️Не стоит пытаться сделать невозможное или свернуть горы. Лучше больше отдыхайте, посвятите время семье и домашним хлопотам.♎️	☘️Сегодня ваш день, от него нужно взять только положительные моменты, а если вы научитесь радоваться мелочам, то он будет еще приятнее и радостнее.♏️ 	☘️Ваши планы обязательно исполнятся, но с утра до ночи думать о них не стоит.♐️	"☘️Вы будете полны энергии, поэтому сможете наконец-то сдвинуть с ""мертвой"" точки накопившиеся дела.♑️"	☘️Просыпайтесь с улыбкой и счастьем. Жизнь ведь прекрасна!♒️	☘️Не переставайте верить в чудо и помните, что мысли материальны.♓️	☘️Вы заслужили на временный отпуск. В этот день вы сможете не только прекрасно отдохнуть, но и познакомиться с интересными людьми.@moygoroskop ☯️	13 июля
☘️У вас сегодня получится все, что запланировали. Вы будете принимать только правильные решения. Многие захотят услышать ваш совет в любовных и житейских делах, так что не промахнитесь.♉️	☘️Близкий человек очень нуждается в вашей моральной поддержке. Постарайтесь сегодня уделить ему время и просто поддержать, ведь очень часто именно этот человек поддерживает вас в сложные времена.♊️	 ☘️Вам следует научиться не принимать события близко к сердцу. Относитесь ко всему проще, тем более к тем вещам, которые вы не в силах изменить.♋️	☘️Белая полоса в жизни уже очень близко. Сейчас главное не опустить руки и приложить все усилия для получения желаемого результата.♌️	☘️Перестаньте сомневаться и берите инициативу в свои руки, иначе вы рискуете упустить одну из главных возможностей в жизни.♍️	☘️Сегодня не торопитесь принимать важных решений. Лучше подумать несколько раз, прежде чем доводить дело до крайности.♎️	☘️Весам сегодня и в любой другой день не следует проявлять агрессию. Это может плохо сказаться на ваших отношениях с близкими.♏️ 	☘️Нужно гнать прочь дурные мысли. Проведите день с людьми, которые вами восхищаются. Помните, если вы упали на дно, то это лучший шанс оттолкнуться от него, чтобы подняться вверх.♐️	☘️Настал день активных действий. Давно пришло время показать всем, кто ставит под сомнения ваши заслуги, кто здесь главный. Ваше ораторское искусство будет на самом высоком уровне, и этим стоит воспользоваться.♑️	☘️Сегодня вас ждут романтические приключения: ваша вторая половинка подготовила для вас сюрприз и надеется на совместно проведенный вечер. Уделите время любимому человеку, это однозначно пойдет на пользу вашим отношениям.♒️	☘️Постарайтесь сегодня посвятить время людям, с которыми давно не виделись. Вполне возможно, что от давних знакомых вам может поступить отличное деловое предложение.♓️Рыбы☘️Сегодня не стоит проводить время в одиночестве. Это прекрасный день для знакомств. Выше нос, 	, впереди новый яркий роман.@moygoroskop ☯️	14 июля
☘️Постарайтесь сделать все возможное для того, чтобы день прошел по возможности спокойно и бесконфликтно. Будьте дружелюбны и дипломатичны.♉️	☘️В этот день вы сможете подчинить практически любого человека своей воле и вам простят все что угодно. Главное — не злоупотреблять ситуацией.♊️	☘️Вы можете получить ценную информацию, которая вам пригодится в деле, которым вы сейчас занимаетесь. А это значит, что денек окажется удачным.♋️	☘️Нынешний день не внесет серьезных изменений в ваши планы. Спокойно выполняйте текущие обязанности и не пытайтесь добиться всего немедленно.♌️	☘️Вы уже набрали нужный темп, поэтому можете не торопиться. А пока все будет идти своим ходом, постарайтесь обратить свой взор на дела амурные.♍️	☘️Постарайтесь осмыслить и усвоить те уроки, которые преподали вам ваши же чувства. Особое внимание уделите тем мелочам, на которые, казалось бы, и время-то тратить жалко.♎️Весы☘️Сегодня 	 могут испытать какой-нибудь соблазн. Есть вероятность того, что ему поступит привлекательное предложение или же он познакомится с симпатичным представителем противоположного пола.♏️ 	☘️Соберитесь с мыслями и совершите невозможное — закончите, наконец, работу, которая не поддавалась. Сегодня это окажется вам по силам.♐️	☘️Если в вас накопилось слишком много отрицательной энергии, постарайтесь направить ее на какое-нибудь доброе, но требующее больших физических нагрузок дело.♑️	☘️В этот день вы вполне можете стать причиной чьего-то счастья. Не удивляйтесь, а дарите положительные эмоции, и они обязательно вернутся к вам.♒️	☘️Сегодня придется делать выбор: продолжать следовать своим принципам или воспользоваться моментом, чтобы обзавестись полезными связями.♓️	☘️Нынче вы будете активны как никогда, поэтому сможете сделать дел раза два больше, чем обычно. Если возникнут некие затруднения, не отчаивайтесь.@moygoroskop ☯️	15 июля
☘️Будьте осторожны в общении с новыми людьми, кто-то хочет воспользоваться вашей добротой и щедростью.♉️Телец☘️День символизирует активность, напористость. 	 будет всеми силами добиваться лидерства в избранной им карьере.♊️	☘️Не накручивайте себя зря, все не настолько плохо, как вы придумали.♋️	☘️Не забывайте о необходимости уделять себя время для отдыха. Полноценный сон сейчас важен, как никогда.♌️	☘️Сконцентрируйте свое внимание на организации развлечений. Сегодня это у вас будет получаться виртуозно.♍️	☘️Сегодня вы будете готовы к свершению подвигов и сворачиванию гор. Будет преступлением потратить этот заряд энергии на пустяки.♎️	☘️Сегодня вы легко будете поддаваться влиянию со стороны. Постарайтесь окружить себя людьми, чьего влияния не стоит опасаться.♏️ 	☘️Сегодня мир будет казаться вам местом серым и скучным до тех пор, пока вы не изволите его раскрасить. Сходите в гости или пригласите гостей к себе.♐️	☘️Наступает прекрасное время для размышлений о переходе к новому роду деятельности, восстановлении и укреплении старых связей или оказании помощи близким.♑️Козерог☘️Положение планет может склонять представителей знака 	 к мечтательности, легкомыслию и получению удовольствий от жизни.♒️	☘️Будьте бдительны и не принимайте ничьих советов, так как тайный недоброжелатель по-прежнему пытается вам навредить. Ваша гибкость и выдержка помогут обойти скрытые ловушки.♓️	☘️Ваши обаяние и упорство помогут вам достичь высоких результатов, однако не следует форсировать события - ваш успех зависит от медленного поступательного движения к цели.@moygoroskop ☯️	16 июля
☘️ Вас ждет что-то до безумия нежное и до дрожи ласковое.. Эх, повезло...♉️	☘️Вы достаточно долго бегали от этой проблемы. Самое время с ней разобраться. Снесите ей башку!♊️	☘️Либо миритесь и больше не деритесь, либо расходитесь раз и навсегда. Подумайте, насколько вам дорог этот человек.♋️Рак☘️	и, терпение - прекрасное чувство, но жизнь слишком коротка, чтобы долго терпеть..♌️	☘️Сегодня у нас по плану интересная работа, любовная интрижка и маленькое путешествие. Возможно романтическое...♍️	☘️Какие вы - такой и день, окружающие вас люди и мир. Будьте паинькой ;)♎️	☘️Советую вам забивать на уходящих и ценить, любить, беречь оставшихся ;)♏️ 	☘️Поверьте, совсем скоро вы окажетесь в нужном месте в нужное время. Там, где вас действительно ждут.♐️	☘️Не нужно принимать все потери близко к сердцу. Все пустоты может заполнить что-то новое, лучшее.♑️	"☘️Ваш авантюрный характер несет вас на встречу приключениям. Осталось найти еще одного такого же ""двинутого"", и день будет незабываемый.♒️"	"☘️Вы и так держитесь молодцом, всегда улыбка на лице... А сегодня кое-что сделает эту улыбку ""нестираемой"" и шире на долгое время ;)♓️"	☘️Рыбам сегодня всего мало. Им нужно еще больше побед, вершин повыше, успеха погромче, любви покрепче!@moygoroskop ☯️	17 июля
☘️Вероятно, ваши надежды осуществятся самым удивительным и неожиданным образом. Может создаться такое впечатление, что все спешат удовлетворить не только ваши желания, но, пожалуй, даже и капризы.♉️	☘️У вас сегодня настроение лучше всех! Заранее предупредите об этом окружающих, чтобы они не подумали, что вы совсем сошли с ума.♊️Близнецы☘️Лучшее, что могут сделать сегодня 	, – это посвятить день себе! А вот в чужие дела сегодня Близнецам лучше не впрягаться – ничем хорошим это не закончится.♋️	☘️Может, хватит уже пережёвывать прошлое? Пора вкусить охрененное настоящее!♌️	☘️Вы обречены на успех, так что можете делать всё, что вам вздумается. В особенности удача преследует вас на любовном фронте!♍️Дева ☘️Сегодня на протяжении дня 	 будет испытывать тягу разобраться со всеми назревшими, а также назревающими вопросами и проблемами. Главное, чтобы эта тяга случайно не перекинулась на выяснение отношений с кем-либо.♎️	☘️Cамолюбие Весов будет подвергнуто самым решительным испытаниям. День обещает быть наполнен большим количеством жарких споров.♏️ Скорпион☘️Сегодня 	у лучше не принимать важные, ответственные решения. Вам полезно лишний раз все обдумать, прежде чем высказать свое мнение и тем более начать действовать.♐️	☘️Фортуна слепа, но сегодня она прозрела, увидела вас красавчиков и теперь не отходит ни на шаг.♑️	☘️Чем чаще вы думаете, что вас ждет что-то классное, тем больше вероятность, что так-то оно и будет!♒️	☘️Тяжело сохранять терпение, ведь вы знаете, что впереди ждёт что-то доброе, светлое, большое, тёплое и восхитительное!♓️	☘️Тяжело сохранять терпение, ведь вы знаете, что впереди ждёт что-то доброе, светлое, большое, тёплое и восхитительное!@moygoroskop ☯️	18 июля
